Index,Address,Lat,Lon
228,Columbus Circle / Union Station,38.897335,-77.0063254
229,Commerce St & Fayette St,38.8056046,-77.0524805
230,Commonwealth & E Monroe Ave,38.8200818,-77.0630229
231,Commonwealth Ave & Oak St,38.812802,-77.0619023
232,Congress Heights Metro,38.8453933,-76.9877861
233,Connecticut & Nebraska Ave NW,38.956033,-77.070411
234,Connecticut Ave & Chevy Chase Lake Dr,38.9939023,-77.0772531
235,Connecticut Ave & Nebraska Ave NW,38.956033,-77.070411
236,Connecticut Ave & Newark St NW / Cleveland Park,38.9340854,-77.0576414
237,Connecticut Ave & Tilden St NW,38.9410109,-77.0616876
238,Connecticut Ave & Yuma St NW,38.9467383,-77.0650041
239,Constitution Ave & 2nd St NW/DOL,38.89292,-77.0143354
240,Convention Center / 7th & M St NW,38.9050342,-77.0232228
241,Cordell & Norfolk Ave,38.989398,-77.098075
242,Court House Metro / 15th & N Uhle St ,38.890665,-77.08493
243,Court House Metro / Wilson Blvd & N Uhle St,38.8912829,-77.0850501
244,Crabbs Branch Way & Calhoun Pl,39.1079736,-77.1521901
245,Crabbs Branch Way & Redland Rd,39.1210475,-77.1585822
246,Crystal City Metro / 18th & Bell St,38.8580227,-77.0514099
247,D St & Maryland Ave NE,38.8947906,-76.9964668
248,Deanwood Rec Center,38.9083237,-76.9324054
249,Division Ave & Foote St NE,38.8971521,-76.9260955
250,Duke St & John Carlyle St,38.804587,-77.0613134
251,E Montgomery Ave & Maryland Ave,39.0840581,-77.150928
252,Eads St & 15th St S,38.8597959,-77.053541
253,East Falls Church Metro/Sycamore St & 19th St N,38.885187,-77.1566949
254,East West Hwy & 16th St,38.9946057,-77.0363767
255,East West Hwy & Blair Mill Rd,38.9899842,-77.0288875
256,Eastern Market / 7th & North Carolina Ave SE,38.886588,-76.9964451
257,Eastern Market Metro / Pennsylvania Ave & 7th St SE,38.8842471,-76.995792
258,Eckington Pl & Q St NE,38.9111223,-77.0047933
259,Eisenhower Ave & Mill Race Ln,38.8010181,-77.068697
260,Fairfax Dr & Glebe Rd,38.8820433,-77.1157465
261,Fairfax Dr & Kenmore St,38.8845004,-77.1007
262,Fairfax Dr & Wilson Blvd,38.8937081,-77.068263
263,Fairfax Village,38.8638871,-76.950623
264,Fallsgove Dr & W Montgomery Ave,39.0997487,-77.1845424
265,Fallsgrove Blvd & Fallsgrove Dr,39.0959963,-77.1919532
266,Fallsgrove Dr & W Montgomery Ave,39.0997487,-77.1845424
267,Fenton St & Ellsworth Dr ,38.9968784,-77.02542
268,Fenton St & Gist Ave,38.9895226,-77.0239276
269,Fenton St & New York Ave ,38.9857379,-77.0229177
270,Fessenden St & Wisconsin Ave NW,38.9547117,-77.0826423
271,Fleet St & Ritchie Pkwy,39.076251,-77.141235
272,Florida Ave & R St NW,38.9126015,-77.013272
273,Fort Totten Metro,38.9517231,-77.0021153
274,Franklin & S Washington St,38.7981876,-77.0484295
275,Frederick Ave & Horners Ln,39.0951567,-77.1442293
276,Friendship Blvd & Willard Ave,38.9620617,-77.0889616
277,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,38.9605715,-77.0856316
278,Gallaudet / 8th St & Florida Ave NE,38.908422,-76.9923875
279,Garland Ave & Walden Rd,38.998442,-76.999826
